Price,Open,High,Low,Close,Adj Close,Volume
2023-01-03 00:00:00,128.7826411649236,129.39551044224089,122.7428651172329,123.6325225830078,123.6325225830078,112117500
2023-01-04 00:00:00,125.43162222007309,127.1812834092853,123.64242739714911,124.90771484375,124.90771484375,89113600
2023-01-05 00:00:00,125.668833505705,126.30147708691391,123.32607783650229,123.5830841064453,123.5830841064453,80962700
2023-01-06 00:00:00,124.5617315121944,128.7925314443485,123.4546012919929,128.13023376464841,128.13023376464841,87754700
2023-01-09 00:00:00,128.9704889756074,131.8767015065342,128.39715319682301,128.65415954589841,128.65415954589841,70790800
2023-01-10 00:00:00,128.76287866678209,129.751385377183,126.647474909861,129.22747802734381,129.22747802734381,63896200
2023-01-11 00:00:00,129.7415043331919,131.97552404444249,128.9605906771462,131.95576477050781,131.95576477050781,69458900
2023-01-12 00:00:00,132.3412931209229,132.71691544226809,129.92933415366289,131.87669372558591,131.87669372558591,71379600
2023-01-13 00:00:00,130.51253218381839,133.3693158075402,130.14678954891531,133.2111511230469,133.2111511230469,57809700
2023-01-17 00:00:00,133.28033589487049,135.7120534872366,132.588384347588,134.37757873535159,134.37757873535159,63646600
2023-01-18 00:00:00,135.24748690824799,137.01690717262809,133.47805156045351,133.65599060058591,133.65599060058591,69672800
2023-01-19 00:00:00,132.53899128723259,134.68404919653631,132.23255659782021,133.71531677246091,133.71531677246091,58280400
2023-01-20 00:00:00,133.72517191147219,136.43368543097279,132.6773573267017,136.285400390625,136.285400390625,80223600
2023-01-23 00:00:00,136.53251917986731,141.67276528101769,136.3150465332765,139.4881591796875,139.4881591796875,81760300
2023-01-24 00:00:00,138.69734480445419,141.51459436693841,138.6874651694682,140.89183044433591,140.89183044433591,66435100
2023-01-25 00:00:00,139.27070057060919,140.79299416676849,137.2146049395916,140.22955322265619,140.22955322265619,65799300
2023-01-26 00:00:00,141.52450641893509,142.59209549504311,140.2690986511856,142.30543518066409,142.30543518066409,54105100
2023-01-27 00:00:00,141.51462437013359,145.5378388406229,141.43554202324191,144.2527770996094,144.2527770996094,70555800
2023-01-30 00:00:00,143.29390943800161,143.87712465526729,141.208160111495,141.35643005371091,141.35643005371091,64015300
